packet_id,source,destination,taille,priorite,latence_totale,chemin
PKT-0-0,PC1,PC2,100,1,0,
PKT-0-1,PC1,PC2,100,1,0,
PKT-0-2,PC1,PC2,100,1,0,
PKT-0-3,PC1,PC2,100,1,0,
PKT-0-4,PC1,PC2,100,1,0,
PKT-1-5,PC1,PC2,100,1,0,
PKT-1-6,PC1,PC2,100,1,0,
PKT-1-7,PC1,PC2,100,1,0,
PKT-1-8,PC1,PC2,100,1,0,
PKT-1-9,PC1,PC2,100,1,0,
PKT-2-10,PC1,PC2,100,1,0,
PKT-2-11,PC1,PC2,100,1,0,
PKT-2-12,PC1,PC2,100,1,0,
PKT-2-13,PC1,PC2,100,1,0,
PKT-2-14,PC1,PC2,100,1,0,
PKT-3-15,PC1,PC2,100,1,0,
PKT-3-16,PC1,PC2,100,1,0,
PKT-3-17,PC1,PC2,100,1,0,
PKT-3-18,PC1,PC2,100,1,0,
PKT-3-19,PC1,PC2,100,1,0,
